,title,year,advisory,movie_length,genre,rating,metascore,description,votes
0,7.Thor: Love and Thunder(2022),(2022),PG-13,118 min,"Action, Adventure, Comedy",6.4,"57        
        Metascore","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.","Votes:
275,367"
1,12.Avatar(2009),(2009),PG-13,162 min,"Action, Adventure, Fantasy",7.8,"83        
        Metascore",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"Votes:
1,231,498
| Gross:
$760.51M"
2,14.DC League of Super-Pets(2022),(2022),PG,105 min,"Animation, Action, Adventure",7.4,"56        
        Metascore","Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.","Votes:
52,463"
3,15.Pinocchio(I) (2022),(I) (2022),PG,105 min,"Adventure, Comedy, Drama",5.1,"38        
        Metascore","A puppet is brought to life by a fairy, who assigns him to lead a virtuous life in order to become a real boy.","Votes:
27,171"
4,17.The Greatest Beer Run Ever(2022),(2022),R,126 min,"Adventure, Comedy, Drama",6.8,"39        
        Metascore",A man's story of leaving New York in 1967 to bring beer to his childhood buddies in the Army while they are fighting in Vietnam.,"Votes:
5,460"
5,18.Everything Everywhere All at Once(2022),(2022),R,139 min,"Action, Adventure, Comedy",8.1,"81        
        Metascore","An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.","Votes:
214,469"
6,19.The Lord of the Rings: The Fellowship of the Ring(2001),(2001),PG-13,178 min,"Action, Adventure, Drama",8.8,"92        
        Metascore",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Votes:
1,849,270
| Gross:
$315.54M"
7,21.Jurassic World Dominion(2022),(2022),PG-13,147 min,"Action, Adventure, Sci-Fi",5.7,"38        
        Metascore","Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.","Votes:
138,962"
8,22.Rogue One: A Star Wars Story(2016),(2016),PG-13,133 min,"Action, Adventure, Sci-Fi",7.8,"65        
        Metascore","In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.","Votes:
626,564
| Gross:
$532.18M"
9,24.Prey(I) (2022),(I) (2022),R,99 min,"Action, Adventure, Drama",7.2,"71        
        Metascore","Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.","Votes:
166,545"
10,25.Uncharted(2022),(2022),PG-13,116 min,"Action, Adventure",6.3,"45        
        Metascore","Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.","Votes:
187,805"
11,28.Moonfall(2022),(2022),PG-13,130 min,"Action, Adventure, Sci-Fi",5.1,"41        
        Metascore",A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.,"Votes:
72,647"
12,34.The Northman(2022),(2022),R,137 min,"Action, Adventure, Drama",7.1,"82        
        Metascore",A young Viking prince is on a quest to avenge his father's murder.,"Votes:
176,752"
13,36.Minions: The Rise of Gru(2022),(2022),PG,87 min,"Animation, Adventure, Comedy",6.6,"56        
        Metascore",The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,"Votes:
56,217"
14,38.Spider-Man: No Way Home(2021),(2021),PG-13,148 min,"Action, Adventure, Fantasy",8.3,"71        
        Metascore","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Votes:
731,713
| Gross:
$804.75M"
15,41.Dune(2021),(2021),PG-13,155 min,"Action, Adventure, Drama",8.0,"74        
        Metascore",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"Votes:
615,479
| Gross:
$108.33M"
16,42.Enola Holmes(2020),(2020),PG-13,123 min,"Action, Adventure, Crime",6.6,"68        
        Metascore","When Enola Holmes-Sherlock's teen sister-discovers her mother is missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.","Votes:
170,839"
17,44.Beast(I) (2022),(I) (2022),R,93 min,"Adventure, Drama, Horror",5.6,"54        
        Metascore",A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.,"Votes:
17,439"
18,45.Thirteen Lives(2022),(2022),PG-13,147 min,"Action, Adventure, Biography",7.8,"66        
        Metascore",A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.,"Votes:
44,720"
19,49.Doctor Strange in the Multiverse of Madness(2022),(2022),PG-13,126 min,"Action, Adventure, Fantasy",7.0,"60        
        Metascore","Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.","Votes:
388,865"
20,50.Sing 2(2021),(2021),PG,110 min,"Animation, Adventure, Comedy",7.4,"49        
        Metascore",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Votes:
65,989
| Gross:
$162.79M"
21,3.DC League of Super-Pets(2022),(2022),PG,105 min,"Animation, Action, Adventure",7.4,"56        
        Metascore","Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.","Votes:
52,463"
22,8.Minions: The Rise of Gru(2022),(2022),PG,87 min,"Animation, Adventure, Comedy",6.6,"56        
        Metascore",The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,"Votes:
56,217"
23,11.Sing 2(2021),(2021),PG,110 min,"Animation, Adventure, Comedy",7.4,"49        
        Metascore",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Votes:
65,989
| Gross:
$162.79M"
24,20.Jujutsu Kaisen 0: The Movie(2021),(2021),PG-13,112 min,"Animation, Action, Fantasy",7.9,"71        
        Metascore","Yuta Okkotsu, a high schooler who gains control of an extremely powerful Cursed Spirit and gets enrolled in the Tokyo Prefectural Jujutsu High School by Jujutsu Sorcerers to help him control his power and keep an eye on him.","Votes:
15,471
| Gross:
$34.54M"
25,22.Lightyear(2022),(2022),PG,100 min,"Animation, Action, Adventure",6.0,"60        
        Metascore","While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.","Votes:
95,705"
26,23.The Nightmare Before Christmas(1993),(1993),PG,76 min,"Animation, Family, Fantasy",7.9,"82        
        Metascore","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","Votes:
332,819
| Gross:
$75.08M"
27,26.Encanto(2021),(2021),PG,102 min,"Animation, Comedy, Family",7.2,"75        
        Metascore",A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,"Votes:
215,107
| Gross:
$96.09M"
28,29.The Bad Guys(2022),(2022),PG,100 min,"Animation, Adventure, Comedy",6.8,"64        
        Metascore","To avoid prison, a gang of notorious animal criminals pretend to seek being rehabilitated, only for their leader to secretly find that he genuinely wants to change his ways.","Votes:
34,399"
29,32.Luck(I) (2022),(I) (2022),G,105 min,"Animation, Adventure, Comedy",6.4,"48        
        Metascore",The curtain is pulled back on the millennia-old battle between the organizations of good luck and bad luck that secretly affects everyday lives.,"Votes:
15,534"
30,38.Spider-Man: Into the Spider-Verse(2018),(2018),PG,117 min,"Animation, Action, Adventure",8.4,"87        
        Metascore","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Votes:
516,723
| Gross:
$190.24M"
31,41.The Lion King(1994),(1994),G,88 min,"Animation, Adventure, Drama",8.5,"88        
        Metascore","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Votes:
1,046,847
| Gross:
$422.78M"
32,42.Cars(2006),(2006),G,117 min,"Animation, Adventure, Comedy",7.2,"73        
        Metascore","On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town, and learns that winning isn't everything in life.","Votes:
418,581
| Gross:
$244.08M"
33,48.Spirited Away(2001),(2001),PG,125 min,"Animation, Adventure, Family",8.6,"96        
        Metascore","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Votes:
752,599
| Gross:
$10.06M"
34,2.Blonde(2022),(2022),NC-17,166 min,"Biography, Drama, Romance",5.6,"50        
        Metascore",A fictionalized chronicle of the inner life of Marilyn Monroe.,"Votes:
28,930"
35,4.Elvis(2022),(2022),PG-13,159 min,"Biography, Drama, Music",7.5,"64        
        Metascore","The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.","Votes:
127,921"
36,5.Dahmer(2002),(2002),R,101 min,"Biography, Crime, Drama",5.6,"63        
        Metascore","Biopic about notorious American serial killer Jeffrey Dahmer, taking place in both the past and the present.","Votes:
10,661
| Gross:
$0.14M"
37,6.My Friend Dahmer(2017),(2017),R,107 min,"Biography, Drama, Horror",6.2,"68        
        Metascore",A young Jeffrey Dahmer struggles to belong in high school.,"Votes:
20,546
| Gross:
$1.36M"
38,7.Father Stu(2022),(2022),R,124 min,"Biography, Drama",6.5,"40        
        Metascore","Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.","Votes:
16,386"
39,8.Thirteen Lives(2022),(2022),PG-13,147 min,"Action, Adventure, Biography",7.8,"66        
        Metascore",A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.,"Votes:
44,720"
40,9.The Wolf of Wall Street(2013),(2013),R,180 min,"Biography, Comedy, Crime",8.2,"75        
        Metascore","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Votes:
1,384,128
| Gross:
$116.90M"
41,13.Dangerous Minds(1995),(1995),R,99 min,"Biography, Drama",6.5,"47        
        Metascore",An ex-Marine turned teacher struggles to connect with her students in an inner city school.,"Votes:
53,285
| Gross:
$84.92M"
42,16.House of Gucci(2021),(2021),R,158 min,"Biography, Crime, Drama",6.6,"59        
        Metascore","When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.","Votes:
130,332"
43,"18.Extremely Wicked, Shockingly Evil and Vile(2019)",(2019),R,110 min,"Biography, Crime, Drama",6.7,"52        
        Metascore","A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.","Votes:
93,896"
44,20.The Bling Ring(2013),(2013),R,90 min,"Biography, Crime, Drama",5.6,"66        
        Metascore","Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes.","Votes:
88,269
| Gross:
$5.84M"
45,23.Legend(I) (2015),(I) (2015),R,132 min,"Biography, Crime, Drama",6.9,"55        
        Metascore",Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,"Votes:
181,922
| Gross:
$1.87M"
46,25.Goodfellas(1990),(1990),R,145 min,"Biography, Crime, Drama",8.7,"90        
        Metascore","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Votes:
1,146,919
| Gross:
$46.84M"
47,26.Schindler's List(1993),(1993),R,195 min,"Biography, Drama, History",9.0,"94        
        Metascore","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Votes:
1,341,680
| Gross:
$96.90M"
48,33.The Greatest Showman(2017),(2017),PG,105 min,"Biography, Drama, Musical",7.5,"48        
        Metascore",Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,"Votes:
279,505
| Gross:
$174.34M"
49,35.Belfast(2021),(2021),PG-13,98 min,"Biography, Drama",7.3,"75        
        Metascore",A young boy and his working-class Belfast family experience the tumultuous late 1960s.,"Votes:
70,443"
50,36.Spencer(2021),(2021),R,117 min,"Biography, Drama",6.6,"76        
        Metascore","Diana Spencer, struggling with mental-health problems during her Christmas holidays with the Royal Family at their Sandringham estate in Norfolk, England, decides to end her decade-long marriage to Prince Charles.","Votes:
66,211"
51,37.Hacksaw Ridge(2016),(2016),R,139 min,"Biography, Drama, History",8.1,"71        
        Metascore","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Votes:
518,563
| Gross:
$67.21M"
52,38.The Social Network(2010),(2010),PG-13,120 min,"Biography, Drama",7.8,"95        
        Metascore","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","Votes:
697,216
| Gross:
$96.96M"
53,39.Tombstone(1993),(1993),R,130 min,"Biography, Drama, History",7.8,"50        
        Metascore","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.","Votes:
149,016
| Gross:
$56.51M"
